company,website,email,phone,industry,country,source,date_scraped,status,notes
"Featured Businesses","https://annuaireci.com/en/entreprises/maquis-le-bananier-abidjan-cote-divoire/","","+225 07 47 73 52 14","","","","","new",""
"MAQUIS LE BANANIER","https://annuaireci.com/en/entreprises/maquis-le-bananier-abidjan-cote-divoire/","","+225 07 47 73 52 14","","","","","new",""
"CASH SERVICES EXPRESS UNION","https://annuaireci.com/en/entreprises/cash-services-express-union-abidjan-cote-divoire/","","+225 27 21 36 06 93","","","","","new",""
"IGEC-SYSTEMES (IVOIRE GENIE CIVIL-SYSTEMES)","https://annuaireci.com/en/entreprises/igec-systemes-ivoire-genie-civil-systemes-abidjan-cote-divoire/","","+225 27 22 52 61 23","","","","","new",""
"SERVITEL Côte d’Ivoire","https://annuaireci.com/en/entreprises/servitel-cote-divoire/","","+225 27 22 42 98 13","","","","","new",""
"PARIS COLLECTION","https://annuaireci.com/en/entreprises/paris-collection-abidjan-cote-divoire/","","+225 07 09 33 62 63","","","","","new",""
"College Moderne De Bongo","https://annuaireci.com/en/entreprises/college-moderne-de-bongo-abidjan-cote-divoire/","","","","","","","new",""
"Ivory Coast","","","","","Côte d'Ivoire","afrikta.com","2026-02-15","new",""
"Promotional Video Creation","","","","","Côte d'Ivoire","afrikta.com","2026-02-15","new",""
"Website Design &amp; Development","","","","","Côte d'Ivoire","afrikta.com","2026-02-15","new",""
"Search","","","","","Côte d'Ivoire","afrikta.com","2026-02-15","new",""
"What We do","","","","","Côte d'Ivoire","afrikta.com","2026-02-15","new",""
"User Account","","","","","Côte d'Ivoire","afrikta.com","2026-02-15","new",""
"Resources &#038; Services","","","","","Côte d'Ivoire","afrikta.com","2026-02-15","new",""
"Senegal","","","","","Sénégal","afrikta.com","2026-02-15","new",""
"Ghana","","","","","Ghana","afrikta.com","2026-02-15","new",""
"Nigeria","","","","","Nigeria","afrikta.com","2026-02-15","new",""
"Download","","tesla@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"List Your Company","","magictouch@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Get Business Leads","","magictouch@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Advertise in Africa","","taier@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Enter a valid phone number with country code","","scope@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Tesla Power Battery","","zoom@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Shoe Platen - Printing on Shoes","","goodyear@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Pro Sports Fitness Indoor Spin Bike","","muqarram@africa-business.com","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Used Toyota Hiace - For Export to Africa","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Scope Lubricants","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Used Computers","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Goodyear Offroad Tyres","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Asimco Brake Pads","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Kenya Business Directory","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Uganda Business Directory","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Angola Business Directory","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Nigeria Business Directory","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Ghana Business Directory","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Ethiopia Business Directory","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Africa Business Pages","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Gateway Marketing","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Facebook","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Linked In","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Youtube","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"Instagram","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"close","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
"100,000+","","","","","Pan-Africa","https://www.africa-business.com/","2026-02-15","new",""
